Autot;Kulunut aika (s);Valtatiellä;Matkalla valtatielle;Matkalla valtatieltä;Matkalla laturille;Matkalla laturilta;Latautumassa;Odottamassa;Valtatiellä (mediaani);Matkalla valtatielle (mediaani);Matkalla valtatieltä (mediaani);Matkalla laturille (mediaani);Matkalla laturilta (mediaani);Latautumassa (mediaani);Odottamassa (mediaani);
339.0;176936.0;78.86489675516223;78.86489675516223;78.86489675516223;78.86489675516223;78.86489675516223;78.86489675516223;78.86489675516223;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
349.0;174708.0;77.92015281757402;77.92015281757402;77.92015281757402;77.92015281757402;77.92015281757402;77.92015281757402;77.92015281757402;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
359.0;186846.0;78.09953574744661;78.09953574744661;78.09953574744661;78.09953574744661;78.09953574744661;78.09953574744661;78.09953574744661;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
369.0;194478.0;78.5056007226739;78.5056007226739;78.5056007226739;78.5056007226739;78.5056007226739;78.5056007226739;78.5056007226739;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
379.0;216502.0;78.76912928759894;78.76912928759894;78.76912928759894;78.76912928759894;78.76912928759894;78.76912928759894;78.76912928759894;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
389.0;181848.0;76.29845758354756;76.29845758354756;76.29845758354756;76.29845758354756;76.29845758354756;76.29845758354756;76.29845758354756;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
399.0;176528.0;77.93166248955723;77.93166248955723;77.93166248955723;77.93166248955723;77.93166248955723;77.93166248955723;77.93166248955723;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;
409.0;188752.0;77.20603096984516;77.20603096984516;77.20603096984516;77.20603096984516;77.20603096984516;77.20603096984516;77.20603096984516;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
419.0;195178.0;77.65600636435958;77.65600636435958;77.65600636435958;77.65600636435958;77.65600636435958;77.65600636435958;77.65600636435958;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
429.0;189512.0;80.03947163947164;80.03947163947164;80.03947163947164;80.03947163947164;80.03947163947164;80.03947163947164;80.03947163947164;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
439.0;207894.0;80.77562642369021;80.77562642369021;80.77562642369021;80.77562642369021;80.77562642369021;80.77562642369021;80.77562642369021;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
449.0;185948.0;77.34001484780995;77.34001484780995;77.34001484780995;77.34001484780995;77.34001484780995;77.34001484780995;77.34001484780995;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
459.0;178374.0;78.70392156862745;78.70392156862745;78.70392156862745;78.70392156862745;78.70392156862745;78.70392156862745;78.70392156862745;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
469.0;192234.0;77.8589907604833;77.8589907604833;77.8589907604833;77.8589907604833;77.8589907604833;77.8589907604833;77.8589907604833;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
479.0;205752.0;77.22776617954071;77.22776617954071;77.22776617954071;77.22776617954071;77.22776617954071;77.22776617954071;77.22776617954071;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
489.0;201430.0;79.23415132924336;79.23415132924336;79.23415132924336;79.23415132924336;79.23415132924336;79.23415132924336;79.23415132924336;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
499.0;201480.0;77.71369405477621;77.71369405477621;77.71369405477621;77.71369405477621;77.71369405477621;77.71369405477621;77.71369405477621;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
509.0;218792.0;79.18670595939751;79.18670595939751;79.18670595939751;79.18670595939751;79.18670595939751;79.18670595939751;79.18670595939751;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
519.0;213144.0;78.39890815671163;78.39890815671163;78.39890815671163;78.39890815671163;78.39890815671163;78.39890815671163;78.39890815671163;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
529.0;182528.0;77.07000630119722;77.07000630119722;77.07000630119722;77.07000630119722;77.07000630119722;77.07000630119722;77.07000630119722;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
539.0;169146.0;75.91205936920223;75.91205936920223;75.91205936920223;75.91205936920223;75.91205936920223;75.91205936920223;75.91205936920223;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
549.0;169756.0;78.78652094717668;78.78652094717668;78.78652094717668;78.78652094717668;78.78652094717668;78.78652094717668;78.78652094717668;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
559.0;206158.0;77.1587954680978;77.1587954680978;77.1587954680978;77.1587954680978;77.1587954680978;77.1587954680978;77.1587954680978;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
569.0;200954.0;78.22841241944931;78.22841241944931;78.22841241944931;78.22841241944931;78.22841241944931;78.22841241944931;78.22841241944931;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;
579.0;184336.0;78.06269430051813;78.06269430051813;78.06269430051813;78.06269430051813;78.06269430051813;78.06269430051813;78.06269430051813;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
589.0;212144.0;80.29156762874929;80.29156762874929;80.29156762874929;80.29156762874929;80.29156762874929;80.29156762874929;80.29156762874929;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
